asset_id,hostname,classe,tipo_ativo,fabricante_hw,modelo_hw,so_vendor,so_produto,so_versao,so_versao_norm,app_vendor,app_produto,app_versao,app_versao_norm,ip_address,criticidade,ambiente,status,departamento_ou_aplicacao_hospedada,localizacao_ou_hospedagem,responsavel_ou_equipe_ti,data_aquisicao,ultimo_inventario
ASSET-0001,SRVAPP-WIN-001,Servidor,Servidor de Aplicação,IBM,Power S1022,Microsoft,Windows Server 2019,10.0.17763.0,10.0.17763.0,Oracle Corporation,MySQL Server,8.0.20,8.0.20,10.0.1.174,MÉDIA,Produção,Ativo,CRM Salesforce,On-Premise,Infraestrutura N3,2018-05-11,2024-01-31
ASSET-0002,SRVAPP-WIN-002,Servidor,Servidor de Aplicação,HPE,ProLiant DL380 Gen10,Microsoft,Windows Server 2022,10.0.20348.4300,10.0.20348.4300,Oracle Corporation,Oracle Java SE,17.0.15,17.0.15,10.0.1.57,ALTA,Produção,Em manutenção,Sistema Financeiro,On-Premise,Suporte N3 - Aplicações,2019-10-16,2025-12-15
ASSET-0003,SRVAPP-WIN-003,Servidor,Servidor de Aplicação,IBM,Power S1022,Red Hat,Red Hat Enterprise Linux 9,9.4,9.4,Fortinet,FortiOS,7.4.6,7.4.6,10.0.1.24,ALTA,Produção,Ativo,CRM Salesforce,On-Premise,Infraestrutura N3,2020-12-19,2024-02-14
ASSET-0004,SRVAPP-WIN-004,Servidor,Servidor de Aplicação,Dell,PowerEdge R650,Red Hat,Red Hat Enterprise Linux 8,8.0,8.0,SAP_SE,SAP NetWeaver Application Server ABAP,SAP_BASIS 731,731,10.0.1.213,MÉDIA,Desenvolvimento,Ativo,ERP SAP,Cloud - Azure,Suporte N3 - Aplicações,2020-02-27,2025-12-22
ASSET-0005,SRVAPP-WIN-005,Servidor,Servidor de Aplicação,HPE,ProLiant DL360 Gen10,Microsoft,Windows Server 2022,10.0.20348.4300,10.0.20348.4300,Oracle Corporation,MySQL Server,8.0.41,8.0.41,10.0.1.98,ALTA,Homologação,Ativo,ERP SAP,On-Premise,Infraestrutura N3,2022-02-25,2024-12-29
ASSET-0006,SRVAPP-WIN-006,Servidor,Servidor de Aplicação,IBM,Power S1022,Microsoft,Windows Server 2025,10.0.26100.0,10.0.26100.0,Adobe,ColdFusion,2025.1,2025.1,10.0.1.137,MÉDIA,Produção,Ativo,Sistema Financeiro,Cloud - GCP,Infraestrutura N3,2024-03-31,2024-08-12
ASSET-0007,SRVAPP-WIN-007,Servidor,Servidor de Aplicação,Dell,PowerEdge R750,Linux,Linux,5.15.80,5.15.80,Juniper Networks,Junos OS,22.4,22.4,10.0.1.69,CRÍTICA,Desenvolvimento,Ativo,ERP SAP,On-Premise,Suporte N3 - Aplicações,2021-07-12,2024-08-05
ASSET-0008,SRVAPP-WIN-008,Servidor,Servidor de Aplicação,Lenovo,ThinkSystem SR650,Red Hat,Red Hat Enterprise Linux 8,8.10,8.10,Fortinet,FortiOS,7.2.12,7.2.12,10.0.1.191,MÉDIA,Produção,Ativo,Portal Corporativo,On-Premise,Infraestrutura N3,2024-07-18,2025-02-12
ASSET-0009,SRVAPP-WIN-009,Servidor,Servidor de Aplicação,HPE,ProLiant DL360 Gen10,Linux,Linux,5.15.170,5.15.170,Oracle Corporation,Oracle Java SE,8u431,8.0.431,10.0.1.40,MÉDIA,Homologação,Ativo,ERP SAP,On-Premise,Infraestrutura N3,2018-09-18,2025-01-29
ASSET-0010,SRVAPP-WIN-010,Servidor,Servidor de Aplicação,Lenovo,ThinkSystem SR630,Red Hat,Red Hat Enterprise Linux 9,9.0,9.0,IBM,Db2,11.5.10,11.5.10,10.0.1.175,BAIXA,Homologação,Ativo,Sistema Financeiro,On-Premise,Infraestrutura N3,2021-10-25,2024-04-24
ASSET-0011,SRVAPP-WIN-011,Servidor,Servidor de Aplicação,HPE,ProLiant DL360 Gen10,Linux,Linux,6.1.130,6.1.130,Fortinet,FortiWeb,7.4.0,7.4.0,10.0.1.249,MÉDIA,Produção,Em manutenção,ERP SAP,Cloud - GCP,Suporte N3 - Aplicações,2021-05-07,2025-10-16
ASSET-0012,SRVAPP-WIN-012,Servidor,Servidor de Aplicação,HPE,ProLiant DL380 Gen10,Red Hat,Red Hat Enterprise Linux 7,7.0,7.0,IBM,Db2,11.5.10,11.5.10,10.0.1.154,ALTA,Produção,Descomissionado,Portal Corporativo,On-Premise,Infraestrutura N3,2021-06-13,2024-09-02
ASSET-0013,SRVAPP-WIN-013,Servidor,Servidor de Aplicação,Supermicro,SuperServer 1029P,Microsoft,Windows Server 2022,10.0.20348.2700,10.0.20348.2700,Oracle Corporation,Oracle Java SE,8u431,8.0.431,10.0.1.209,CRÍTICA,Homologação,Ativo,ERP SAP,Cloud - GCP,Suporte N3 - Aplicações,2019-06-10,2025-11-06
ASSET-0014,SRVAPP-WIN-014,Servidor,Servidor de Aplicação,HPE,ProLiant DL360 Gen10,Red Hat,Red Hat Enterprise Linux 8,8.10,8.10,SAP_SE,SAP NetWeaver Application Server ABAP,SAP_BASIS 731,731,10.0.1.247,ALTA,Produção,Ativo,Sistema Financeiro,Cloud - Azure,Suporte N3 - Aplicações,2020-04-03,2025-12-31
ASSET-0015,SRVAPP-WIN-015,Servidor,Servidor de Aplicação,IBM,FlexSystem x240 M5,Linux,Linux,6.1.130,6.1.130,Fortinet,FortiOS,7.2.12,7.2.12,10.0.1.64,ALTA,Produção,Ativo,Sistema Financeiro,Cloud - AWS,Infraestrutura N3,2020-07-31,2025-08-25
ASSET-0016,SRVAPP-WIN-016,Servidor,Servidor de Aplicação,Dell,PowerEdge R540,Microsoft,Windows Server 2025,10.0.26100.4000,10.0.26100.4000,Oracle Corporation,MySQL Server,8.0.20,8.0.20,10.0.1.18,BAIXA,Desenvolvimento,Ativo,BI / Analytics,On-Premise,Infraestrutura N3,2020-09-01,2024-10-12
ASSET-0017,SRVAPP-WIN-017,Servidor,Servidor de Aplicação,Supermicro,SuperServer 1029P,Red Hat,Red Hat Enterprise Linux 8,8.10,8.10,Oracle Corporation,Oracle Java SE,17.0.15,17.0.15,10.0.1.63,MÉDIA,Desenvolvimento,Ativo,BI / Analytics,Cloud - Azure,Suporte N3 - Aplicações,2019-02-02,2025-11-05
ASSET-0018,SRVAPP-WIN-018,Servidor,Servidor de Aplicação,Lenovo,ThinkSystem SR630,Red Hat,Red Hat Enterprise Linux 9,9.4,9.4,Fortinet,FortiOS,7.2.0,7.2.0,10.0.1.173,MÉDIA,Homologação,Ativo,API Gateway,Cloud - GCP,Infraestrutura N3,2021-10-21,2024-04-21
ASSET-0019,SRVAPP-WIN-019,Servidor,Servidor de Aplicação,HPE,ProLiant DL360 Gen10,Microsoft,Windows Server 2025,10.0.26100.4000,10.0.26100.4000,Oracle Corporation,Oracle Java SE,17.0.15,17.0.15,10.0.1.72,MÉDIA,Desenvolvimento,Ativo,CRM Salesforce,Cloud - AWS,Infraestrutura N3,2024-03-04,2024-04-10
ASSET-0020,SRVAPP-WIN-020,Servidor,Servidor de Aplicação,Supermicro,SuperServer 1029P,Microsoft,Windows Server 2022,10.0.20348.2700,10.0.20348.2700,Adobe,ColdFusion,2023.0,2023.0,10.0.1.105,MÉDIA,Produção,Ativo,ERP SAP,On-Premise,Infraestrutura N3,2018-08-29,2024-06-17
